2.57566,2.00428,0.83471,0.54388,0.73781,1.33367,1.30375,1.32672,0.97693,0.58499,0.57426,0.81885,0.74756,0.56055,0.28031,0.46301
1.92129,6.14133,3.12071,1.0808,0.69807,0.81054,1.49457,1.8283,1.41874,0.94208,0.80214,0.97019,0.97984,0.93596,0.60157,0.60895
1.05695,2.0775,9.19855,3.24521,0.73171,0.52543,1.15707,1.35475,1.47795,1.08281,1.09701,0.86908,0.799,0.75508,0.62113,0.76751
0.61094,0.75639,1.35977,8.1017,3.07623,1.19798,0.7074,1.03096,1.06343,1.25861,1.21012,0.87421,0.73144,0.53626,0.7004,0.60613
0.79801,0.48079,0.6473,1.67191,3.96596,2.43055,1.33543,0.99215,1.14968,1.02813,1.30073,0.99442,0.80721,0.6552,0.44373,0.38875
1.05326,0.92817,0.61336,0.78406,1.75564,2.67587,1.799,1.48099,1.26362,1.09723,1.40713,1.27722,0.95182,0.72851,0.56482,0.37741
0.92506,0.96739,0.67164,0.50996,0.92893,1.54484,1.76318,1.55047,1.45446,1.16688,1.11376,1.19718,0.85296,0.755,0.45261,0.48134
0.7643,0.90206,0.81369,0.69218,0.70726,1.12566,1.42464,1.73715,1.46696,1.28914,1.02431,0.92267,0.84012,0.67132,0.55457,0.51509
0.46639,0.6941,0.72385,0.58711,0.58817,0.88694,1.04414,1.46098,1.50075,1.20138,1.21535,0.90835,0.71838,0.55524,0.51515,0.40315
0.32625,0.43269,0.51438,0.52042,0.56354,0.7136,0.81042,0.99834,1.15928,1.13364,1.18559,0.76377,0.57614,0.39374,0.38235,0.37504
0.3004,0.36211,0.38939,0.40137,0.45422,0.65303,0.62635,0.76591,0.87402,0.84513,0.93921,0.79716,0.62415,0.46324,0.35061,0.42663
0.26326,0.29064,0.26447,0.25352,0.31666,0.42064,0.48988,0.47926,0.44341,0.55044,0.68259,0.60345,0.492,0.41837,0.2901,0.33064
0.22178,0.27847,0.22453,0.22078,0.24918,0.33129,0.353,0.34739,0.38636,0.34643,0.43668,0.44987,0.34304,0.33368,0.38476,0.25782
0.18176,0.20158,0.19203,0.18044,0.17966,0.22443,0.23576,0.25622,0.254,0.25251,0.23835,0.29492,0.2832,0.25541,0.29419,0.30069
0.15064,0.15182,0.15734,0.14568,0.17891,0.18048,0.16204,0.20344,0.20447,0.20935,0.2128,0.18855,0.21774,0.20864,0.25732,0.22503
0.13967,0.1418,0.14556,0.13702,0.14942,0.14624,0.15475,0.16809,0.20122,0.18011,0.19736,0.18005,0.17623,0.16995,0.18634,0.16726
